iter	Passed	Remaining
0	134	134193
1	136	68195
2	138	46174
3	141	35354
4	144	28785
5	147	24365
6	149	21190
7	151	18834
8	154	16980
9	156	15498
10	159	14300
11	161	13282
12	163	12419
13	165	11686
14	168	11043
15	170	10477
16	172	9981
17	174	9544
18	177	9161
19	179	8806
20	182	8485
21	184	8192
22	186	7941
23	189	7716
24	192	7518
25	194	7303
26	196	7084
27	198	6881
28	199	6686
29	201	6503
30	202	6323
31	203	6153
32	204	5994
33	205	5845
34	206	5702
35	207	5562
36	208	5428
37	209	5305
38	210	5185
39	211	5071
40	212	4963
41	213	4858
42	213	4757
43	214	4660
44	215	4568
45	216	4479
46	216	4394
47	217	4312
48	218	4234
49	218	4158
50	219	4085
51	220	4014
52	220	3945
53	221	3879
54	222	3815
55	222	3754
56	223	3695
57	224	3638
58	224	3583
59	225	3528
60	225	3475
61	226	3424
62	226	3374
63	227	3326
64	228	3280
65	228	3235
66	229	3191
67	229	3144
68	230	3103
69	230	3063
70	231	3023
71	231	2984
72	232	2947
73	232	2910
74	233	2874
75	233	2839
76	234	2805
77	234	2772
78	235	2739
79	235	2708
80	235	2677
81	236	2647
82	236	2618
83	237	2589
84	237	2559
85	238	2531
86	238	2502
87	238	2476
88	239	2450
89	239	2425
90	240	2400
91	240	2376
92	241	2353
93	241	2330
94	242	2307
95	242	2285
96	243	2263
97	243	2241
98	244	2221
99	244	2200
100	244	2180
101	245	2158
102	245	2139
103	246	2120
104	246	2101
105	247	2083
106	247	2065
107	247	2047
108	248	2030
109	248	2013
110	249	1996
111	249	1980
112	250	1963
113	250	1947
114	251	1932
115	251	1915
116	251	1901
117	252	1886
118	252	1871
119	253	1857
120	253	1843
121	254	1829
122	254	1814
123	254	1800
124	255	1787
125	255	1774
126	256	1761
127	256	1747
128	256	1735
129	257	1722
130	257	1710
131	258	1698
132	258	1686
133	259	1675
134	259	1664
135	260	1652
136	260	1641
137	260	1630
138	261	1619
139	261	1608
140	262	1598
141	262	1587
142	263	1577
143	263	1567
144	264	1557
145	264	1547
146	265	1537
147	265	1528
148	265	1518
149	266	1509
150	266	1500
151	267	1491
152	267	1482
153	268	1473
154	268	1464
155	269	1455
156	269	1447
157	269	1438
158	270	1430
159	270	1422
160	271	1414
161	271	1405
162	272	1397
163	272	1390
164	273	1382
165	273	1374
166	274	1367
167	274	1359
168	274	1352
169	275	1344
170	275	1337
171	276	1330
172	276	1323
173	277	1315
174	277	1308
175	278	1302
176	278	1295
177	279	1288
178	279	1281
179	279	1275
180	280	1267
181	280	1261
182	281	1254
183	281	1248
184	281	1242
185	282	1236
186	282	1229
187	283	1223
188	283	1217
189	284	1211
190	284	1205
191	285	1199
192	285	1194
193	286	1188
194	286	1182
195	286	1177
196	287	1171
197	287	1165
198	288	1160
199	288	1154
200	289	1149
201	289	1144
202	290	1138
203	290	1133
204	290	1128
205	291	1123
206	291	1117
207	292	1112
208	292	1107
209	293	1103
210	293	1098
211	294	1093
212	294	1088
213	295	1083
214	295	1078
215	296	1074
216	296	1069
217	297	1065
218	297	1061
219	298	1056
220	298	1052
221	299	1047
222	299	1043
223	299	1038
224	300	1034
225	300	1030
226	301	1025
227	301	1021
228	302	1017
229	302	1012
230	303	1008
231	303	1004
232	303	1000
233	304	996
234	304	992
235	305	988
236	305	984
237	306	980
238	306	976
239	307	972
240	307	968
241	307	964
242	308	960
243	308	957
244	309	953
245	309	949
246	310	945
247	310	942
248	311	938
249	311	934
250	312	931
251	312	927
252	312	923
253	313	920
254	313	916
255	314	913
256	314	910
257	315	906
258	315	903
259	316	899
260	316	896
261	316	892
262	317	889
263	317	886
264	318	882
265	318	879
266	319	876
267	319	873
268	320	869
269	320	866
270	321	863
271	321	860
272	321	857
273	322	854
274	322	851
275	323	848
276	323	845
277	324	842
278	324	839
279	325	836
280	325	833
281	326	830
282	326	827
283	326	824
284	327	821
285	327	818
286	328	815
287	328	812
288	329	809
289	329	806
290	330	804
291	330	801
292	330	798
293	331	795
294	331	793
295	332	790
296	332	787
297	333	784
298	333	782
299	334	779
300	334	776
301	335	774
302	335	771
303	335	769
304	336	766
305	336	763
306	337	761
307	337	758
308	338	756
309	338	753
310	339	751
311	339	748
312	339	746
313	340	743
314	340	741
315	341	738
316	341	736
317	342	733
318	342	731
319	343	729
320	343	726
321	343	724
322	344	721
323	344	719
324	345	717
325	345	714
326	346	712
327	346	710
328	347	707
329	347	705
330	347	703
331	348	700
332	348	698
333	349	696
334	349	694
335	350	692
336	350	689
337	351	687
338	351	685
339	352	683
340	352	681
341	353	679
342	353	677
343	353	674
344	354	672
345	354	670
346	355	668
347	355	666
348	356	664
349	356	662
350	357	660
351	357	658
352	357	655
353	358	653
354	358	651
355	359	649
356	359	647
357	360	645
358	360	643
359	361	641
360	361	639
361	361	637
362	362	635
363	362	633
364	363	631
365	363	630
366	364	628
367	364	626
368	365	624
369	365	622
370	366	620
371	366	618
372	367	616
373	367	615
374	367	613
375	368	611
376	368	609
377	369	607
378	369	605
379	370	603
380	370	602
381	371	600
382	371	598
383	371	596
384	372	594
385	372	593
386	373	591
387	373	589
388	374	587
389	374	585
390	375	584
391	375	582
392	375	580
393	376	578
394	376	577
395	377	575
396	377	573
397	378	572
398	378	570
399	379	568
400	379	567
401	380	565
402	380	563
403	380	561
404	381	560
405	381	558
406	382	557
407	382	555
408	383	553
409	383	552
410	384	550
411	384	548
412	384	547
413	385	545
414	385	543
415	386	542
416	386	540
417	387	539
418	387	537
419	388	536
420	388	534
421	389	532
422	389	531
423	390	529
424	390	528
425	390	526
426	391	525
427	391	523
